feature,gain
CUM_MEAN(APPROVED_HOUR_APPR_PROCESS_START_MAX),30.6
PERCENTILE(APPROVED_AMT_CREDIT_MAX),30.4
APPROVED_AMT_DOWN_PAYMENT_MEAN,30.2
PERCENTILE(BURO_MONTHS_BALANCE_SIZE_MEAN),30.0
REFUSED_HOUR_APPR_PROCESS_START_MEAN,30.0
CUM_MEAN(ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN),30.0
DIFF(PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN),29.8
PERCENTILE(PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN),29.6
ORGANIZATION_TYPE_Construction,29.4
CLOSED_MONTHS_BALANCE_SIZE_SUM,29.4
CUM_MEAN(CC_CNT_DRAWINGS_POS_CURRENT_SUM),29.0
CUM_MEAN(PREV_NAME_GOODS_CATEGORY_Furniture_MEAN),29.0
CUM_MEAN(ORGANIZATION_TYPE_Hotel),28.8
PERCENTILE(REFUSED_DAYS_DECISION_MAX),28.8
CUM_MEAN(CLOSED_AMT_ANNUITY_MAX),28.8
DIFF(REFUSED_AMT_CREDIT_MAX),28.6
DIFF(REFUSED_AMT_ANNUITY_MEAN),28.6
CUM_MEAN(DAYS_EMPLOYED),28.6
PERCENTILE(ACTIVE_DAYS_CREDIT_MIN),28.4
CUM_MEAN(ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN),28.4
CUM_MEAN(REFUSED_DAYS_DECISION_MEAN),28.4
REFUSED_AMT_CREDIT_MIN,28.4
CUM_MEAN(FLOORSMAX_MEDI),28.2
POS_NAME_CONTRACT_STATUS_Returned to the store_MEAN,28.0
REFUSED_AMT_ANNUITY_MAX,28.0
CUM_MEAN(CC_CNT_INSTALMENT_MATURE_CUM_MIN),28.0
CUM_MEAN(PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN),27.8
CUM_MEAN(BURO_DAYS_CREDIT_MAX),27.8
BURO_MONTHS_BALANCE_MIN_MIN,27.6
PERCENTILE(APPROVED_APP_CREDIT_PERC_MAX),27.6
CC_AMT_DRAWINGS_POS_CURRENT_SUM,27.6
WALLSMATERIAL_MODE_Panel,27.4
PERCENTILE(PREV_PRODUCT_COMBINATION_POS household with interest_MEAN),27.2
CUM_MEAN(PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN),27.2
CUM_MEAN(PREV_NAME_CASH_LOAN_PURPOSE_Everyday expenses_MEAN),26.8
REFUSED_DAYS_DECISION_MIN,26.4
CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,26.4
CUM_MEAN(APPROVED_HOUR_APPR_PROCESS_START_MIN),26.4
APPROVED_AMT_APPLICATION_MAX,26.4
DIFF(POS_SK_DPD_DEF_MAX),26.2
CUM_MEAN(PREV_NAME_SELLER_INDUSTRY_Industry_MEAN),26.0
CUM_MEAN(PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN),26.0
DIFF(APPROVED_RATE_DOWN_PAYMENT_MIN),26.0
